English,Telugu,Hindi,Kannada
"Hello, how are you?","హలో, మీరు ఎలా ఉన్నారు?","नमस्ते, आप कैसे हैं?","ಹಲೋ, ಹೇಗಿದ್ದೀರಾ?"
Good morning! Have a great day.,గుడ్ మార్నింగ్!గొప్ప రోజు.,शुभ प्रभात!आपका दिन अच्छा रहे।,ಶುಭೋದಯ!ಉತ್ತಮ ದಿನ.
I love learning new languages.,నేను కొత్త భాషలను నేర్చుకోవడం చాలా ఇష్టం.,मुझे नई भाषाएँ सीखना पसंद है।,ನಾನು ಹೊಸ ಭಾಷೆಗಳನ್ನು ಕಲಿಯಲು ಇಷ್ಟಪಡುತ್ತೇನೆ.
This is a translation project.,ఇది అనువాద ప్రాజెక్ట్.,यह एक अनुवाद परियोजना है।,ಇದು ಅನುವಾದ ಯೋಜನೆಯಾಗಿದೆ.
We are developing an AI-powered translator.,మేము AI- శక్తితో కూడిన అనువాదకుడిని అభివృద్ధి చేస్తున్నాము.,हम एक एआई-संचालित अनुवादक विकसित कर रहे हैं।,ನಾವು AI- ಚಾಲಿತ ಭಾಷಾಂತರಕಾರನನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿದ್ದೇವೆ.
She is an excellent teacher.,ఆమె అద్భుతమైన గురువు.,वह एक उत्कृष्ट शिक्षक हैं।,ಅವಳು ಅತ್ಯುತ್ತಮ ಶಿಕ್ಷಕ.
They are planning to visit India next year.,వారు వచ్చే ఏడాది భారతదేశాన్ని సందర్శించాలని యోచిస్తున్నారు.,वे अगले साल भारत का दौरा करने की योजना बना रहे हैं।,ಅವರು ಮುಂದಿನ ವರ್ಷ ಭಾರತಕ್ಕೆ ಭೇಟಿ ನೀಡಲು ಯೋಜಿಸುತ್ತಿದ್ದಾರೆ.
The weather is beautiful today.,ఈ రోజు వాతావరణం అందంగా ఉంది.,आज मौसम सुंदर है।,ಹವಾಮಾನ ಇಂದು ಸುಂದರವಾಗಿದೆ.
I enjoy reading books in my free time.,నా ఖాళీ సమయంలో పుస్తకాలు చదవడం ఆనందించాను.,मुझे अपने खाली समय में किताबें पढ़ने में मजा आता है।,ನನ್ನ ಬಿಡುವಿನ ವೇಳೆಯಲ್ಲಿ ಪುಸ್ತಕಗಳನ್ನು ಓದುವುದನ್ನು ನಾನು ಆನಂದಿಸುತ್ತೇನೆ.
Technology is evolving rapidly.,సాంకేతికత వేగంగా అభివృద్ధి చెందుతోంది.,प्रौद्योगिकी तेजी से विकसित हो रही है।,ತಂತ್ರಜ್ಞಾನವು ವೇಗವಾಗಿ ವಿಕಸನಗೊಳ್ಳುತ್ತಿದೆ.
